eng-30-09366317-n;n;positive;0.3125;natural_elevation,elevation;-1
eng-30-07961016-n;n;neutral;0.3125;clod,glob,ball,chunk,clump,lump;-1
eng-30-00804695-a;a;positive;0.3125;lively;-1
eng-30-01410363-a;a;neutral;0.3125;dissimilar,unlike,different;-1
eng-30-01052248-a;a;positive;0.3125;fragrant;-1
eng-30-01502507-a;a;neutral;0.3125;membered;-1
eng-30-00249433-a;a;positive;0.3125;bloodless;-1
eng-30-01571363-a;a;negative;0.3125;artificial,unreal;-1
eng-30-02080577-a;a;positive;0.3125;satisfactory;-1
eng-30-00151689-v;v;negative;0.3125;lessen,diminish,decrease,fall;-1
eng-30-01918184-a;a;positive;0.3125;unquestionable;-1
eng-30-00173764-a;a;neutral;0.3125;hearable,audible;-1
eng-30-08374049-n;n;neutral;0.3125;settlement,colony;-1
eng-30-02284096-v;v;negative;0.3125;corrupt,bribe,grease_one's_palms,buy;-1
eng-30-02518161-v;v;neutral;0.3125;behave,deport,carry,comport,acquit,conduct,bear;-1
eng-30-07253637-n;n;negative;0.3125;discouragement;-1
eng-30-00817680-n;n;positive;0.3125;protection;-1
eng-30-01819554-v;v;negative;0.3125;restrain,intimidate;-1
eng-30-01957529-v;v;neutral;0.3125;ride,sit;-1
eng-30-00890100-v;v;positive;0.3125;vouch,guarantee;-1
eng-30-00236989-a;a;neutral;0.3125;one-sided,unilateral;-1
eng-30-01222884-a;a;negative;0.3125;dishonorable,dishonest;-1
eng-30-01476483-v;v;negative;0.3125;obturate,close_up,impede,occlude,obstruct,block,jam;-1
eng-30-02570282-a;a;negative;0.3125;foolish;-1
eng-30-07951464-n;n;neutral;0.3125;collection,aggregation,assemblage,accumulation;-1
eng-30-01970826-v;v;negative;0.3125;come_down,go_down,fall,descend;-1
eng-30-01071198-a;a;positive;0.3125;fresh;-1
eng-30-07450842-n;n;neutral;0.3125;observance,ceremony,ceremonial,ceremonial_occasion;-1
eng-30-01855764-a;a;neutral;0.3125;basic;-1
eng-30-00389406-v;v;negative;0.3125;emaciate,waste,macerate;-1
eng-30-00385791-n;n;neutral;0.3125;division;-1
eng-30-01129920-n;n;negative;0.3125;duty,obligation,responsibility;-1
eng-30-00654885-n;n;positive;0.3125;care,aid,attention,tending;-1
eng-30-00237240-a;a;neutral;0.3125;multilateral,many-sided;-1
eng-30-04860065-n;n;negative;0.3125;cowardliness,cowardice;-1
eng-30-00069879-v;v;negative;0.3125;injure,wound;-1
eng-30-10077593-n;n;positive;0.3125;fan,devotee,buff,lover;-1
eng-30-13285176-n;n;neutral;0.3125;part,portion,share,percentage;-1
eng-30-00792991-a;a;positive;0.3125;subordinate,low-level;-1
eng-30-00224901-v;v;negative;0.3125;weaken;-1
eng-30-01140514-a;a;negative;0.3125;awkward;-1
eng-30-00179311-v;v;neutral;0.3125;take_out,take_away;-1
eng-30-06560254-n;n;neutral;0.3125;answer;-1
eng-30-02131072-a;a;positive;0.3125;sexy;-1
eng-30-02528380-v;v;negative;0.3125;miscarry,go_wrong,fail;-1
eng-30-02374914-a;a;positive;0.3125;sympathetic;-1
eng-30-04866465-n;n;negative;0.3125;irresolution,irresoluteness;-1
eng-30-02229961-s;a;negative;0.3125;menial,lowly,humble;-1
eng-30-00811375-v;v;negative;0.3125;avoid;-1
eng-30-00150287-v;v;positive;0.3125;adjust,conform,adapt;-1
eng-30-03974215-n;n;neutral;0.3125;point;-1
eng-30-07127006-n;n;positive;0.3125;laughter,laugh;-1
eng-30-01343918-a;a;positive;0.3125;interesting;-1
eng-30-00424008-a;a;positive;0.3125;clean,unobjectionable;-1
eng-30-02040652-a;a;neutral;0.3125;round,circular;-1
eng-30-00023244-v;v;negative;0.3125;de-energize,de-energise;-1
eng-30-01784017-a;a;neutral;0.3125;irreligious;-1
eng-30-00419289-a;a;negative;0.3125;dirty,unclean,soiled;-1
eng-30-02872752-n;n;neutral;0.3125;boot;-1
eng-30-01664581-a;a;negative;0.3125;pessimistic;-1
eng-30-02126889-a;a;negative;0.3125;unsettled;-1
eng-30-00749230-a;a;positive;0.3125;easy;-1
eng-30-00220522-n;n;negative;0.3125;slaying,execution,murder;-1
eng-30-08293982-n;n;positive;0.3125;alliance,alignment,coalition,alinement;-1
eng-30-02314275-v;v;negative;0.3125;divest,strip,deprive;-1
eng-30-01400562-a;a;neutral;0.3125;legal;-1
eng-30-01291069-v;v;positive;0.3125;join,conjoin;-1
eng-30-09998101-n;n;negative;0.3125;beguiler,slicker,deceiver,trickster,cheat,cheater;-1
eng-30-01775164-v;v;positive;0.3125;love;-1
eng-30-14285662-n;n;negative;0.3125;injury,trauma,harm,hurt;-1
eng-30-00333829-n;n;negative;0.3125;disturbance;-1
eng-30-00023383-a;a;negative;0.3125;inaccurate;-1
eng-30-07526182-n;n;positive;0.3125;fearlessness,bravery;-1
eng-30-00769092-n;n;negative;0.3125;fraud;-1
eng-30-01579813-v;v;neutral;0.3125;spread_out,spread,unfold,open;-1
eng-30-00795863-v;v;negative;0.3125;disallow,veto,proscribe,prohibit,interdict,forbid,nix;-1
